                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.38196,                0.28545,                0.81358,                0.99882,                      1,                  0.995,                0.82616,                0.72712,                0.34292,                0.87212,              0.0004952,              0.0004952,              0.0004952
                     78,                0.43109,                0.31665,                0.83199,                0.99881,                      1,                  0.995,                0.81593,                0.73969,                0.35124,                 0.8715,              0.0004754,              0.0004754,              0.0004754
                     79,                0.41373,                0.31221,                0.80558,                0.99886,                      1,                  0.995,                0.82266,                0.73489,                0.34161,                0.86974,              0.0004556,              0.0004556,              0.0004556
                     80,                0.39302,                0.29777,                 0.8362,                0.99878,                      1,                  0.995,                0.81112,                0.75054,                0.33735,                0.87616,              0.0004358,              0.0004358,              0.0004358
                     81,                0.39136,                 0.3011,                0.82078,                0.99869,                      1,                  0.995,                 0.8101,                0.76475,                0.34314,                0.87736,               0.000416,               0.000416,               0.000416
                     82,                0.37196,                0.29294,                0.82107,                0.99873,                      1,                  0.995,                0.82021,                0.72763,                0.33129,                0.86856,              0.0003962,              0.0003962,              0.0003962
                     83,                0.39488,                0.29606,                0.81919,                0.99867,                      1,                  0.995,                0.81353,                0.72825,                0.33099,                0.87428,              0.0003764,              0.0003764,              0.0003764
                     84,                0.39437,                0.31483,                0.82777,                0.99859,                      1,                  0.995,                0.80554,                0.74598,                0.34205,                0.87726,              0.0003566,              0.0003566,              0.0003566
                     85,                0.37944,                0.28656,                0.81498,                0.99855,                      1,                  0.995,                0.81363,                0.74148,                0.34221,                0.87287,              0.0003368,              0.0003368,              0.0003368
                     86,                0.37399,                0.28725,                0.80937,                0.99791,                      1,                  0.995,                 0.8151,                 0.7596,                0.33322,                 0.8781,               0.000317,               0.000317,               0.000317
                     87,                0.36422,                0.27365,                0.81221,                0.99784,                      1,                  0.995,                0.80918,                0.76423,                0.32765,                0.87684,              0.0002972,              0.0002972,              0.0002972
                     88,                0.36297,                0.27189,                0.81234,                0.99777,                      1,                  0.995,                0.82037,                0.73116,                  0.331,                0.86705,              0.0002774,              0.0002774,              0.0002774
                     89,                0.37327,                0.28748,                0.82269,                0.99821,                      1,                  0.995,                0.82758,                0.72676,                0.32689,                0.86717,              0.0002576,              0.0002576,              0.0002576
                     90,                0.36212,                0.27018,                0.81943,                 0.9985,                      1,                  0.995,                0.81748,                0.74289,                 0.3218,                0.87219,              0.0002378,              0.0002378,              0.0002378
                     91,                0.33481,                 0.2722,                0.80404,                0.99859,                      1,                  0.995,                0.82795,                0.72849,                0.32253,                0.86734,               0.000218,               0.000218,               0.000218
                     92,                0.32704,                 0.2498,                0.79419,                0.99875,                      1,                  0.995,                0.82786,                0.71586,                0.33274,                0.86704,              0.0001982,              0.0001982,              0.0001982
                     93,                0.33675,                0.25823,                0.80219,                0.99881,                      1,                  0.995,                0.81555,                0.72273,                0.32801,                0.86777,              0.0001784,              0.0001784,              0.0001784
                     94,                0.32245,                0.25443,                0.80174,                0.99884,                      1,                  0.995,                0.81548,                0.71261,                0.30591,                0.86109,              0.0001586,              0.0001586,              0.0001586
                     95,                0.31461,                0.25321,                0.80305,                0.99885,                      1,                  0.995,                0.81956,                0.71482,                0.30116,                0.86311,              0.0001388,              0.0001388,              0.0001388
                     96,                0.31529,                0.25198,                0.79144,                0.99885,                      1,                  0.995,                0.82359,                0.73185,                 0.3051,                 0.8708,               0.000119,               0.000119,               0.000119
                     97,                0.32511,                0.24763,                  0.787,                0.99886,                      1,                  0.995,                0.81308,                0.74158,                0.31484,                0.87135,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.29989,                0.23829,                0.77279,                0.99887,                      1,                  0.995,                0.82428,                0.73604,                0.32279,                0.86507,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.29149,                0.22791,                0.78269,                0.99889,                      1,                  0.995,                 0.8244,                0.73152,                0.32405,                0.86215,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.28655,                0.23404,                0.77698,                0.99887,                      1,                  0.995,                0.81855,                   0.73,                0.32396,                0.86149,               3.98e-05,               3.98e-05,               3.98e-05
